ID,tripduration,startstationid,startstationname,startstationlatitude,startstationlongitude,endstationid,endstationname,endstationlatitude,endstationlongitude,bikeid,gender
122,327,2017,E 43 St & 2 Ave,40.75022392,-73.97121414,507,E 25 St & 2 Ave,40.73912601,-73.97973776,14718,1
123,1391,356,Bialystoker Pl & Delancey St,40.71622644,-73.98261206,492,W 33 St & 7 Ave,40.75019995,-73.99093085,16758,2
124,862,488,W 39 St & 9 Ave,40.75645824,-73.99372222,507,E 25 St & 2 Ave,40.73912601,-73.97973776,17577,1
125,293,417,Barclay St & Church St,40.71291224,-74.01020234,386,Centre St & Worth St,40.71494807,-74.00234482,16052,1
126,1296,511,E 14 St & Avenue B,40.72938685,-73.97772429,309,Murray St & West St,40.7149787,-74.013012,20069,1
127,107,487,E 20 St & FDR Drive,40.73314259,-73.97573881,487,E 20 St & FDR Drive,40.73314259,-73.97573881,15357,1
128,349,317,E 6 St & Avenue B,40.72453734,-73.98185424,504,1 Ave & E 15 St,40.73221853,-73.98165557,18947,1
129,291,487,E 20 St & FDR Drive,40.73314259,-73.97573881,2012,E 27 St & 1 Ave,40.739445,-73.976806,20699,1
130,743,477,W 41 St & 8 Ave,40.75640548,-73.9900262,527,E 33 St & 2 Ave,40.744023,-73.976056,20574,2
131,717,247,Perry St & Bleecker St,40.73535398,-74.00483091,537,Lexington Ave & E 24 St,40.74025878,-73.98409214,18113,1
132,705,504,1 Ave & E 15 St,40.73221853,-73.98165557,341,Stanton St & Mangin St,40.71782143,-73.97628939,16541,1
133,722,342,Columbia St & Rivington St,40.71739973,-73.98016555,2004,6 Ave & Broome St,40.724399,-74.004704,16273,2
134,445,526,E 33 St & 5 Ave,40.74765947,-73.98490707,2012,E 27 St & 1 Ave,40.739445,-73.976806,20229,1
135,215,305,E 58 St & 3 Ave,40.76095756,-73.96724467,522,E 51 St & Lexington Ave,40.75714758,-73.97207836,14595,1
136,832,305,E 58 St & 3 Ave,40.76095756,-73.96724467,461,E 20 St & 2 Ave,40.73587678,-73.98205027,20354,1
137,123,312,Allen St & E Houston St,40.722055,-73.989111,312,Allen St & E Houston St,40.722055,-73.989111,15817,1
138,595,528,2 Ave & E 31 St,40.74290902,-73.97706058,492,W 33 St & 7 Ave,40.75019995,-73.99093085,17599,2
139,311,270,Adelphi St & Myrtle Ave,40.69308257,-73.97178913,324,DeKalb Ave & Hudson Ave,40.689888,-73.981013,19700,2
140,1280,394,E 9 St & Avenue C,40.72521311,-73.97768752,195,Liberty St & Broadway,40.70905623,-74.01043382,19000,1
141,556,519,Pershing Square North,40.751873,-73.977706,2012,E 27 St & 1 Ave,40.739445,-73.976806,18454,1
142,359,312,Allen St & E Houston St,40.722055,-73.989111,251,Mott St & Prince St,40.72317958,-73.99480012,17750,1
143,210,537,Lexington Ave & E 24 St,40.74025878,-73.98409214,444,Broadway & W 24 St,40.7423543,-73.98915076,17889,1
144,349,379,W 31 St & 7 Ave,40.749156,-73.9916,493,W 45 St & 6 Ave,40.7568001,-73.98291153,19081,1
145,1338,261,Johnson St & Gold St,40.69474881,-73.98362464,491,E 24 St & Park Ave S,40.74096374,-73.98602213,17383,1
146,1049,379,W 31 St & 7 Ave,40.749156,-73.9916,347,W Houston St & Hudson St,40.72873888,-74.00748842,18660,1
147,633,492,W 33 St & 7 Ave,40.75019995,-73.99093085,455,1 Ave & E 44 St,40.75001986,-73.96905301,19518,1
148,391,379,W 31 St & 7 Ave,40.749156,-73.9916,491,E 24 St & Park Ave S,40.74096374,-73.98602213,20774,1
149,700,492,W 33 St & 7 Ave,40.75019995,-73.99093085,359,E 47 St & Park Ave,40.75510267,-73.97498696,18782,2
150,367,523,W 38 St & 8 Ave,40.75466591,-73.99138152,485,W 37 St & 5 Ave,40.75038009,-73.98338988,15100,1
151,327,492,W 33 St & 7 Ave,40.75019995,-73.99093085,153,E 40 St & 5 Ave,40.75206231,-73.9816324,15907,1
152,365,261,Johnson St & Gold St,40.69474881,-73.98362464,414,Pearl St & Anchorage Pl,40.70281858,-73.98765762,18408,1
153,252,527,E 33 St & 2 Ave,40.744023,-73.976056,472,E 32 St & Park Ave,40.7457121,-73.98194829,16067,1
154,460,318,E 43 St & Vanderbilt Ave,40.75320159,-73.9779874,529,W 42 St & 8 Ave,40.7575699,-73.99098507,16595,1
155,193,477,W 41 St & 8 Ave,40.75640548,-73.9900262,533,Broadway & W 39 St,40.75299641,-73.98721619,16612,1
156,147,509,9 Ave & W 22 St,40.7454973,-74.00197139,459,W 20 St & 11 Ave,40.746745,-74.007756,15946,1
157,609,529,W 42 St & 8 Ave,40.7575699,-73.99098507,281,Grand Army Plaza & Central Pa,40.7643971,-73.97371465,16241,1
