,index,tripduration,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender
48,92,669,9/1/2015 00:15:12,9/1/2015 00:26:21,517,Pershing Square South,40.751581,-73.97791,500,Broadway & W 51 St,40.76228826,-73.98336183,22307,Subscriber,1968.0,2
49,93,417,9/1/2015 00:15:42,9/1/2015 00:22:40,297,E 15 St & 3 Ave,40.734232,-73.986923,527,E 33 St & 2 Ave,40.744023,-73.976056,22320,Subscriber,1988.0,1
50,94,455,9/1/2015 00:15:42,9/1/2015 00:23:18,498,Broadway & W 32 St,40.74854862,-73.98808416,478,11 Ave & W 41 St,40.76030096,-73.99884222,23795,Subscriber,1970.0,1
51,95,304,9/1/2015 00:15:50,9/1/2015 00:20:54,3092,Berry St & N 8 St,40.7190095,-73.95852515,3112,Milton St & Franklin St,40.72906,-73.95779,22238,Subscriber,1979.0,1
52,97,852,9/1/2015 00:16:45,9/1/2015 00:30:58,335,Washington Pl & Broadway,40.72903917,-73.99404649,470,W 20 St & 8 Ave,40.74345335,-74.00004031,22455,Subscriber,1983.0,2
53,99,722,9/1/2015 00:16:54,9/1/2015 00:28:56,285,Broadway & E 14 St,40.73454567,-73.99074142,531,Forsyth St & Broome St,40.71893904,-73.99266288,21460,Subscriber,1979.0,1
54,100,641,9/1/2015 00:17:03,9/1/2015 00:27:44,496,E 16 St & 5 Ave,40.73726186,-73.99238967,439,E 4 St & 2 Ave,40.726280700000004,-73.98978041,23360,Subscriber,1986.0,1
55,101,335,9/1/2015 00:17:14,9/1/2015 00:22:49,519,Pershing Square North,40.751872999999996,-73.97770600000001,228,E 48 St & 3 Ave,40.7546011026,-73.971878855,19354,Subscriber,1986.0,1
56,102,354,9/1/2015 00:17:15,9/1/2015 00:23:10,297,E 15 St & 3 Ave,40.734232,-73.986923,507,E 25 St & 2 Ave,40.73912601,-73.97973776,16914,Subscriber,1986.0,1
57,104,696,9/1/2015 00:17:15,9/1/2015 00:28:52,494,W 26 St & 8 Ave,40.74734825,-73.99723551,368,Carmine St & 6 Ave,40.73038599,-74.00214988,18105,Subscriber,1987.0,1
58,105,536,9/1/2015 00:17:28,9/1/2015 00:26:25,293,Lafayette St & E 8 St,40.73028666,-73.9907647,487,E 20 St & FDR Drive,40.73314259,-73.97573881,19527,Subscriber,1981.0,1
59,106,357,9/1/2015 00:17:37,9/1/2015 00:23:34,293,Lafayette St & E 8 St,40.73028666,-73.9907647,497,E 17 St & Broadway,40.73704984,-73.99009296,19843,Subscriber,1981.0,1
