Trip_no,VendorID,PU_hour,DO_hour,Store_and_fwd_flag,RateCodeID,Pickup_longitude,Pickup_latitude,Dropoff_longitude,Dropoff_latitude,Passenger_count,Trip_distance,Fare_amount,Extra,MTA_tax,Tip_amount,Tolls_amount,Ehail_fee,improvement_surcharge,Total_amount,Trip_type
27,2,17,17,N,1,-73.95505524,40.81195831,-73.95009613,40.8047905,2,0.85,6,1,0.5,0,0, ,0.3,7.8,1
28,2,17,17,N,1,-73.95619965,40.71360779,-73.93995667,40.70838165,2,1.19,8.5,1,0.5,2.58,0, ,0.3,12.88,1
29,1,17,17,N,1,-73.97735596,40.68979645,-73.9416275,40.70079803,1,2.7,14,1,0.5,0,0, ,0.3,15.8,1
30,2,17,17,N,1,-73.92414856,40.67898178,-73.90605927,40.67676163,1,1.13,11,1,0.5,0,0, ,0.3,12.8,1
31,2,17,17,N,1,-73.91596985,40.83621979,-73.92015076,40.83150864,1,1.91,15,1,0.5,0,0, ,0.3,16.8,1
32,1,17,17,N,1,-73.9821701,40.67404556,-73.97723389,40.68105698,1,0.5,5,1,0.5,0,0, ,0.3,6.8,1
33,2,17,17,N,1,-73.90986633,40.85694885,-73.89766693,40.86237717,1,0.88,5.5,1,0.5,0,0, ,0.3,7.3,1
34,2,17,17,N,1,-73.96085358,40.81195831,-73.94181824,40.82363129,1,1.59,9,1,0.5,2.7,0, ,0.3,13.5,1
35,2,17,17,N,1,-73.90414429,40.87872314,-73.9176712,40.88329315,1,1.48,7,1,0.5,2.64,0, ,0.3,11.44,1
36,2,17,17,N,1,-73.80744171,40.70031738,-73.78398132,40.68253708,1,2.35,12,1,0.5,0,0, ,0.3,13.8,1
37,1,17,17,N,1,-73.86038208,40.83314133,-73.89946747,40.81669617,1,3.1,13.5,1,0.5,0,0, ,0.3,15.3,1
38,1,17,17,N,1,-73.86940002,40.74912643,-73.90336609,40.77720642,1,3.7,16,1,0.5,3.55,0, ,0.3,21.35,1
